ID,Class Label,Predicted_Class_Label
1.bmp,2,2
2.bmp,3,3
3.bmp,4,4
4.bmp,5,5
5.bmp,6,6
6.bmp,7,7
7.bmp,9,148
8.bmp,10,10
9.bmp,11,11
10.bmp,12,12
11.bmp,14,14
12.bmp,15,15
13.bmp,16,16
14.bmp,17,17
15.bmp,19,19
16.bmp,20,20
17.bmp,2,2
18.bmp,3,3
19.bmp,4,4
20.bmp,5,5
21.bmp,6,6
22.bmp,7,7
23.bmp,9,9
24.bmp,10,10
25.bmp,11,11
26.bmp,12,12
27.bmp,14,14
28.bmp,15,34
29.bmp,16,16
30.bmp,17,17
31.bmp,19,19
32.bmp,20,20
33.bmp,2,2
34.bmp,3,3
35.bmp,4,4
36.bmp,5,5
37.bmp,6,6
38.bmp,7,7
39.bmp,9,9
40.bmp,10,10
41.bmp,11,11
42.bmp,12,12
43.bmp,14,20
44.bmp,15,15
45.bmp,16,22
46.bmp,17,17
47.bmp,19,19
48.bmp,20,20
49.bmp,2,2
50.bmp,3,3
51.bmp,4,4
52.bmp,5,5
53.bmp,6,6
54.bmp,7,7
55.bmp,9,9
56.bmp,10,10
57.bmp,11,11
58.bmp,12,12
59.bmp,14,14
60.bmp,15,15
61.bmp,16,16
62.bmp,17,17
63.bmp,19,19
64.bmp,20,20
65.bmp,2,2
66.bmp,3,3
67.bmp,4,4
68.bmp,5,5
69.bmp,6,6
70.bmp,7,7
71.bmp,9,9
72.bmp,10,10
73.bmp,11,11
74.bmp,12,12
75.bmp,14,14
76.bmp,15,15
77.bmp,16,82
78.bmp,17,23
79.bmp,19,19
80.bmp,20,20
81.bmp,2,2
82.bmp,3,3
83.bmp,4,4
84.bmp,5,5
85.bmp,6,6
86.bmp,7,7
87.bmp,9,9
88.bmp,10,10
89.bmp,11,11
90.bmp,12,12
91.bmp,14,14
92.bmp,15,15
93.bmp,16,16
94.bmp,17,17
95.bmp,19,19
96.bmp,20,20
97.bmp,2,2
98.bmp,3,3
99.bmp,4,4
100.bmp,5,5
101.bmp,6,6
102.bmp,7,7
103.bmp,9,9
104.bmp,10,10
105.bmp,11,11
106.bmp,12,12
107.bmp,14,14
108.bmp,15,15
109.bmp,16,16
110.bmp,17,17
111.bmp,19,19
112.bmp,20,20
113.bmp,2,2
114.bmp,3,3
115.bmp,4,4
116.bmp,5,5
117.bmp,6,6
118.bmp,7,7
119.bmp,9,9
120.bmp,10,10
121.bmp,11,11
122.bmp,12,12
123.bmp,14,14
124.bmp,15,15
125.bmp,16,16
126.bmp,17,17
127.bmp,19,19
128.bmp,20,20
129.bmp,2,2
130.bmp,3,3
131.bmp,4,4
132.bmp,5,5
133.bmp,6,6
134.bmp,7,7
135.bmp,9,9
136.bmp,10,10
137.bmp,11,11
138.bmp,12,12
139.bmp,14,14
140.bmp,15,15
141.bmp,16,16
142.bmp,17,17
143.bmp,19,19
144.bmp,20,20
145.bmp,2,2
146.bmp,3,3
147.bmp,4,4
148.bmp,5,5
149.bmp,6,6
150.bmp,7,7
151.bmp,9,9
152.bmp,10,10
